id,date,step_time
0,1-May-12,58.13
0,30-Apr-12,53.98
0,27-Apr-12,67.00
0,26-Apr-12,89.70
0,25-Apr-12,99.00
0,24-Apr-12,130.28
0,23-Apr-12,166.70
0,20-Apr-12,234.98
0,19-Apr-12,345.44
0,18-Apr-12,443.34
0,17-Apr-12,543.70
0,16-Apr-12,580.13
0,13-Apr-12,605.23
0,12-Apr-12,622.77
0,11-Apr-12,626.20
0,10-Apr-12,628.44
0,9-Apr-12,636.23
0,5-Apr-12,633.68
0,4-Apr-12,624.31
0,3-Apr-12,629.32
0,2-Apr-12,618.63
0,30-Mar-12,599.55
0,29-Mar-12,609.86
0,28-Mar-12,617.62
0,27-Mar-12,614.48
0,26-Mar-12,606.98